Price,Info,Location
"$12,000","3 bds · 1 ba · 1,241 sqft",101 Walnut St EVARTS KY 40828
"$12,000","3 bds · 1 ba · 1,000 sqft",208 15th St Corbin KY 40701
"$12,000","2 bds · 1 ba · 1,303 sqft",304 N Highland Ave EARLINGTON KY 42410
"$12,000",3 bds · 2 ba · -- sqft,3351 Billy Drake Rd Central City KY 42330
"$12,000",2 bds · 1 ba · 942 sqft,1819 Wilson Ave LOUISVILLE KY 40210
"$11,900","3 bds · 1.5 ba · 1,352 sqft",7 Hazelnut Dr Jenkins KY 41537
"$11,900","2 bds · 1 ba · 1,259 sqft",4017 Fork Ln Maysville KY 41056
"$10,400",3 bds · 1 ba · 880 sqft,2611 Lower Pompey Rd SHELBIANA KY 41562
$10K,2 bds · 1 ba · -- sqft,314 N Church St Adairville KY 42202
"$10,000",1 bd · 1 ba · 992 sqft,168 Clements St PADUCAH KY 42003
"$10,000","2 bds · 1 ba · 12,400 sqft",421 Iowa St Ashland KY 41102
"$10,000","3 bds · 2 ba · 1,000 sqft",000 Slate Br Vanceburg KY 41179
"$9,900","2 bds · 1 ba · 1,136 sqft",605 Gordon Ave MADISONVILLE KY 42431
"$9,900","3 bds · 2 ba · 1,440 sqft",238 Old Railroad St Martin KY 41649
"$9,900",2 bds · 1 ba · 679 sqft,515 S 24th St LOUISVILLE KY 40211
"$9,900",2 bds · 1 ba · 800 sqft,360 E 4th St Maysville KY 41056
"$9,900","2 bds · 1 ba · 1,082 sqft",225 Flinders Dr Vanceburg KY 41179
"$9,250","2 bds · 1 ba · 1,410 sqft",312 3rd St CLOVERPORT KY 40111
"$9,000",2 bds · 1 ba · 684 sqft,1317 S 9th St Paducah KY 42003
"$9,000","1 bd · 1 ba · 1,096 sqft",2009 Saint Louis Ave LOUISVILLE KY 40210
"$8,500",2 bds · 2 ba · -- sqft,376 E Ky 8 Vanceburg KY 41179
"$8,000","2 bds · 1 ba · 1,128 sqft",944 Dixie Hwy LOUISVILLE KY 40210
$7.1K,"3 bds · 1 ba · 1,288 sqft",1329 S 26th St LOUISVILLE KY 40210
"$6,900","4 bds · 2 ba · 1,200 sqft",3171 N Big Creek Rd Belfry KY 41514
"$6,900","2 bds · 2 ba · 1,464 sqft",2819 W Chestnut St LOUISVILLE KY 40211
"$6,500",3 bds · 1 ba · 952 sqft,507 N 3rd St CENTRAL CITY KY 42330
$6.5K,1 bd · 1 ba · 867 sqft,1708 Wilson Ave LOUISVILLE KY 40210
$6.2K,"1 bd · 1 ba · 1,470 sqft",2518 Garland Ave LOUISVILLE KY 40211
$6K,"1 bd · 1 ba · 1,189 sqft",2410 Magazine St LOUISVILLE KY 40211
"$6,000","3 bds · 2 ba · 1,393 sqft",167 Lizard Point Rd STURGIS KY 42459
"$6,000","2 bds · 1 ba · 1,232 sqft",440 N 25th St LOUISVILLE KY 40212
$5.7K,2 bds · 1 ba · 848 sqft,2122 W Ormsby Ave LOUISVILLE KY 40210
"$5,000","4 bds · 1 ba · 1,533 sqft",914 Dixie Hwy Louisville KY 40210
"$5,000",2 bds · 1 ba · 896 sqft,467 N 29th St LOUISVILLE KY 40212
"$5,000",3 bds · 1 ba · 992 sqft,2614 Greenwood Ave LOUISVILLE KY 40211
"$4,900",3 bds · 1 ba · 980 sqft,2618 Fairmont St PADUCAH KY 42003
$4.7K,1 bd · 1 ba · 998 sqft,2830 Greenwood Ave LOUISVILLE KY 40211
$4.3K,1 bd · 1 ba · 992 sqft,2416 Garland Ave LOUISVILLE KY 40211
$3.9K,1 bd · 1 ba · 832 sqft,219 S 23rd St LOUISVILLE KY 40212
$3.8K,"1 bd · 1 ba · 1,274 sqft",3120 Virginia Ave LOUISVILLE KY 40211
$3.5K,"3 bds · 1 ba · 1,064 sqft",79 Tygart Ln SOUTH SHORE KY 41175
$2.1K,2 bds · 1 ba · 726 sqft,1118 Brickyard Hl Jenkins KY 41537
$1.9K,2 bds · 1.5 ba · -- sqft,KY 221 Kettle Island KY 40958
$1.0K,"3 bds · 1 ba · 1,520 sqft",1847 Campbellsville Rd HODGENVILLE KY 42748
$1,2 bds · 1 ba · -- sqft,2435 Gumm Spring Rd Summersville KY 42782
$1,"3 bds · 2 ba · 1,225 sqft",2708 Sharon Way LOUISVILLE KY 40220
$1,4 bds · 1 ba · 804 sqft,4130 Craig Ave LOUISVILLE KY 40215
$1,"3 bds · 1 ba · 1,120 sqft",2502 Grand Ave LOUISVILLE KY 40210
$1,"2 bds · 1 ba · 1,330 sqft",1326 S Preston St LOUISVILLE KY 40208
$1,"2 bds · 1 ba · 1,117 sqft",2820 W Kentucky St LOUISVILLE KY 40211
$1,"3 bds · 1 ba · 1,469 sqft",2513 W Hill St LOUISVILLE KY 40210
$1,2 bds · 1 ba · 840 sqft,4216 Winnrose Way LOUISVILLE KY 40211
$1,"3 bds · 1 ba · 1,100 sqft",805 Village Ln SHELBYVILLE KY 40065
$1,"2 bds · 1 ba · 1,031 sqft",3124 River Park Dr LOUISVILLE KY 40211
$1,"2 bds · 1 ba · 1,017 sqft",2306 Grand Ave LOUISVILLE KY 40210
$1,"3 bds · 2 ba · 1,185 sqft",4100 Melda Ln LOUISVILLE KY 40219
$1,"3 bds · 1 ba · 1,090 sqft",2240 Grand Ave LOUISVILLE KY 40210
$1,"3 bds · 1 ba · 1,100 sqft",805 Village Ln SHELBYVILLE KY 40065
$1,"3 bds · 2 ba · 1,225 sqft",2708 Sharon Way LOUISVILLE KY 40220
$1,2 bds · 1 ba · 918 sqft,4229 Fordson Way LOUISVILLE KY 40211
$1,"4 bds · 1 ba · 1,080 sqft",3407 Del Park Ter LOUISVILLE KY 40211
$1,"4 bds · 2 ba · 1,283 sqft",2725 Alford Ave LOUISVILLE KY 40212
$1,"3 bds · 2 ba · 1,450 sqft",7807 Beechdale Rd Crestwood KY 40014
$1,"2 bds · 1 ba · 1,198 sqft",2527 W Main St LOUISVILLE KY 40212
$1,"3 bds · 2 ba · 1,126 sqft",326 S 42nd St LOUISVILLE KY 40212
$1,"2 bds · 2 ba · 1,328 sqft",122 S Longworth Ave LOUISVILLE KY 40212
$1,"4 bds · 2 ba · 1,414 sqft",1816 Baird St LOUISVILLE KY 40203
$1,"4 bds · 1 ba · 1,400 sqft",1921 Duncan St LOUISVILLE KY 40203
$1,"5 bds · 4.5 ba · 3,478 sqft",6808 Transylvania Ave PROSPECT KY 40059
$1,"2 bds · 1.5 ba · 2,170 sqft",2369 Drane Ln Eminence KY 40019
